user_id,precision,recall,hit_rate,hits,relevant_books
843,0.2,0.18181818181818182,1,2,11
41229,0.2,0.3333333333333333,1,2,6
46880,0.0,0.0,0,0,16
47511,0.2,0.14285714285714285,1,2,14
51041,0.0,0.0,0,0,14
21430,0.6,0.21428571428571427,1,6,28
4507,0.3,0.1875,1,3,16
44864,0.3,0.2727272727272727,1,3,11
2727,0.4,0.3076923076923077,1,4,13
36856,0.2,0.2,1,2,10
50759,0.0,0.0,0,0,17
7653,0.2,0.2857142857142857,1,2,7
48762,0.1,0.05263157894736842,1,1,19
34268,0.4,0.15384615384615385,1,4,26
47891,0.1,0.0625,1,1,16
41011,0.1,0.07142857142857142,1,1,14
52494,0.1,0.05263157894736842,1,1,19
13925,0.1,0.05,1,1,20
24984,0.1,0.08333333333333333,1,1,12
18839,0.5,0.3125,1,5,16
21816,0.4,0.14814814814814814,1,4,27
50703,0.2,0.125,1,2,16
32933,0.0,0.0,0,0,16
49666,0.1,0.25,1,1,4
2580,0.4,0.26666666666666666,1,4,15
30098,0.2,0.18181818181818182,1,2,11
36362,0.1,0.05555555555555555,1,1,18
4878,0.3,0.2727272727272727,1,3,11
26836,0.1,0.05,1,1,20
36141,0.0,0.0,0,0,18
32091,0.4,0.2,1,4,20
53171,0.5,0.23809523809523808,1,5,21
42350,0.4,0.2,1,4,20
2570,0.0,0.0,0,0,16
30204,0.1,1.0,1,1,1
26894,0.1,0.08333333333333333,1,1,12
11610,0.4,0.3333333333333333,1,4,12
21259,0.2,0.13333333333333333,1,2,15
47822,0.3,0.23076923076923078,1,3,13
46011,0.2,0.13333333333333333,1,2,15
3438,0.2,0.13333333333333333,1,2,15
8258,0.2,0.058823529411764705,1,2,34
31501,0.2,0.2222222222222222,1,2,9
36875,0.1,0.05263157894736842,1,1,19
8619,0.2,0.1111111111111111,1,2,18
50464,0.3,0.1875,1,3,16
3376,0.1,0.05555555555555555,1,1,18
38904,0.3,0.125,1,3,24
19354,0.2,0.08695652173913043,1,2,23
51404,0.5,0.21739130434782608,1,5,23
21421,0.0,0.0,0,0,4
17298,0.3,0.14285714285714285,1,3,21
44791,0.0,0.0,0,0,13
43667,0.1,0.3333333333333333,1,1,3
22936,0.4,0.19047619047619047,1,4,21
52516,0.1,0.06666666666666667,1,1,15
52914,0.1,0.07142857142857142,1,1,14
52775,0.4,0.21052631578947367,1,4,19
4879,0.1,0.2,1,1,5
5848,0.0,0.0,0,0,20
44977,0.2,0.08333333333333333,1,2,24
3752,0.3,0.17647058823529413,1,3,17
52030,0.4,0.3076923076923077,1,4,13
31136,0.2,0.16666666666666666,1,2,12
25156,0.4,0.23529411764705882,1,4,17
34993,0.2,0.125,1,2,16
39047,0.4,0.26666666666666666,1,4,15
5937,0.1,0.1,1,1,10
16487,0.4,0.3333333333333333,1,4,12
29893,0.0,0.0,0,0,13
25330,0.3,0.125,1,3,24
42724,0.4,0.21052631578947367,1,4,19
16966,0.2,0.13333333333333333,1,2,15
30017,0.5,0.29411764705882354,1,5,17
42055,0.0,0.0,0,0,21
42110,0.3,0.2,1,3,15
49384,0.2,0.1111111111111111,1,2,18
1119,0.1,0.043478260869565216,1,1,23
47193,0.3,0.15,1,3,20
51440,0.2,0.09523809523809523,1,2,21
29316,0.2,0.2,1,2,10
32206,0.3,0.15789473684210525,1,3,19
17632,0.0,0.0,0,0,7
23185,0.2,0.07692307692307693,1,2,26
25096,0.4,0.2,1,4,20
51494,0.0,0.0,0,0,22
51729,0.1,0.2,1,1,5
25141,0.1,0.058823529411764705,1,1,17
51880,0.0,0.0,0,0,19
50499,0.3,0.21428571428571427,1,3,14
45610,0.1,0.0625,1,1,16
52669,0.2,0.1,1,2,20
47262,0.0,0.0,0,0,9
20029,0.3,0.375,1,3,8
22298,0.1,0.06666666666666667,1,1,15
14487,0.4,0.3076923076923077,1,4,13
34347,0.6,0.2608695652173913,1,6,23
915,0.6,0.2857142857142857,1,6,21
8660,0.3,0.42857142857142855,1,3,7
